name;image;year;power_hp;torque_nm;engine_type;displacement_cc;cylinders;max_speed_kmh;acceleration_0_100;weight_kg;production_units;current_price_euro;description;drive;intake
Mitsubishi GTO;foto/mitsubishi_gto_1997.jpg;1997;280;407;V6 Twin Turbo;2972;6;260;5.4;1750;5000;35000;GT high-tech con trazione integrale e sterzo 4WS;AWD;Twin-Turbo
Mitsubishi Lancer Evolution IX MR;foto/mitsubishi_lancer_evolution_ix_mr_2006.jpg;2006;287;392;I4 Turbo;1997;4;250;4.9;1400;2500;45000;Versione MR con MIVEC della Evo IX, una delle più apprezzate della serie;AWD;Turbo
Mitsubishi Lancer Evolution VI GSR;foto/mitsubishi_lancer_evolution_vi_gsr_1999.jpg;1999;280;373;I4 Turbo;1997;4;250;4.8;1360;5000;40000;Versione celebre per i successi di Tommi Mäkinen nel WRC;AWD;Turbo
Mitsubishi Lancer Evolution VIII MR;foto/mitsubishi_lancer_evolution_viii_mr_2004.jpg;2004;280;400;I4 Turbo;1997;4;250;4.9;1410;1000;35000;Prima Evo con carrozzeria in alluminio per il mercato USA;AWD;Turbo
Mitsubishi Lancer Evolution X GSR;foto/mitsubishi_lancer_evolution_x_gsr_2008.jpg;2008;295;422;I4 Turbo;1998;4;250;4.7;1560;9000;40000;Ultima generazione della Lancer Evolution con nuovo design;AWD;Turbo
Mitsubishi Pajero Evolution;foto/mitsubishi_pajero_evolution.jpg;1985;280;348;V6;3497;6;210;8.0;1850;2500;50000;Versione omologazione per il Rally Dakar;AWD;Turbo
Mitsubishi Starion ESI-R;foto/mitsubishi_starion_esi_r_1988.jpg;1988;197;294;I4 Turbo;2555;4;230;6.5;1410;5000;25000;Coupé sportiva che ha introdotto l'ECI Turbo Mitsubishi;RWD;Turbo
Nissan 240SX;foto/nissan_240sx_1997.jpg;1997;155;195;I4;2389;4;210;7.5;1225;10000;20000;Versione USA della Silvia, popolare per drifting e modifiche;RWD;Aspirato
Nissan 240SX SE;foto/nissan_240sx_se_1993.jpg;1993;155;195;I4;2389;4;210;7.5;1225;10000;18000;Versione SE della Silvia S13 per il mercato americano;RWD;Aspirato
Nissan 300ZX Twin Turbo;foto/nissan_300zx_twin_turbo.jpg;1994;300;384;V6 Twin Turbo;2960;6;250;5.5;1580;15000;40000;GT sportiva con V6 biturbo e tecnologie avanzate;RWD;Twin-Turbo
Nissan Fairlady Z Version S Twin Turbo;foto/nissan_fairlady_z_version_s_twin_turbo_1994.jpg;1994;280;384;V6 Twin Turbo;2960;6;250;5.5;1580;10000;35000;Versione JDM della 300ZX Twin Turbo;RWD;Twin-Turbo
Nissan GT-R R35;foto/nissan_gt-r_r35.jpg;2007;485;588;V6 Twin Turbo;3799;6;315;3.5;1740;20000;80000;Supercar high-tech con prestazioni da record al Nürburgring;AWD;Twin-Turbo
Nissan Nismo GT-R LM;foto/nissan_nismo_gt_r_lm_1995.jpg;1995;300;375;I6 Twin Turbo;2568;6;280;4.8;1300;100;500000;Versione stradale omologata per Le Mans;RWD;Twin-Turbo
Nissan Primera GT;foto/nissan_primera_gt.jpg;2002;190;204;I4 Neo VVL;1998;4;235;7.2;1280;5000;15000;Sportiva con innovativo motore SR20VE a fasatura variabile;FWD;Aspirato
Nissan Pulsar GTI-R;foto/nissan_pulsar_gti_r_1990.jpg;1990;230;280;I4 Turbo;1998;4;232;5.4;1220;15000;30000;Hot hatch 4WD sviluppata per il Gruppo A rally;AWD;Turbo
Nissan Silvia Club K'S;foto/nissan_silvia_club_ks_1992.jpg;1992;205;274;I4 Turbo;1998;4;235;6.5;1230;10000;25000;S13 con motore turbo SR20DET;RWD;Turbo
Nissan Silvia K'S;foto/nissan_silvia_ks_1994.jpg;1994;220;274;I4 Turbo;1998;4;240;6.2;1240;12000;28000;S14 con design più moderno e motore potenziato;RWD;Turbo
Nissan Silvia K'S Aero;foto/nissan_silvia_ks_aero_1998.jpg;1998;250;275;I4 Turbo;1998;4;245;5.8;1250;8000;32000;S14 restyling con kit aerodinamico sportivo;RWD;Turbo
Nissan Silvia Spec-R;foto/nissan_silvia_spec_r_2000.jpg;2000;250;275;I4 Turbo;1998;4;250;5.5;1270;10000;35000;S15 top di gamma con differenziale elicoidale e sospensioni multilink;RWD;Turbo
Nissan Skyline GT-R V-SPEC;foto/nissan_skyline_gt_r_v_spec_1993.jpg;1993;280;353;I6 Twin Turbo;2568;6;250;4.7;1430;15000;90000;R32 V-SPEC con differenziale attivo e freni Brembo;AWD;Twin-Turbo
Nissan Skyline GT-R V-SPEC;foto/nissan_skyline_gt_r_v_spec_1997.jpg;1997;280;368;I6 Twin Turbo;2568;6;250;4.6;1540;20000;100000;R33 V-SPEC con ATTESA-ETS Pro migliorato;AWD;Twin-Turbo
Nissan Skyline GT-R V-SPEC II;foto/nissan_skyline_gt_r_v_spec_ii_2002.jpg;2002;280;397;I6 Twin Turbo;2568;6;250;4.4;1560;1000;150000;R34 V-SPEC II con cofano in carbonio e display multifunzione;AWD;Twin-Turbo
Oldsmobile Achieva SCX W41;foto/oldsmobile_achieva_scx_w41_1992.jpg;1992;190;210;I4;2300;4;220;7.0;1360;500;15000;Rara sportiva GM con motore Quad 4 W41;FWD;Aspirato
Oldsmobile Toronado;foto/oldsmobile_toronado_1966.jpg;1966;385;644;V8;7000;8;210;7.5;2070;40963;45000;Innovativa coupé di lusso a trazione anteriore;FWD;Aspirato
Opel Calibra V6 ITC;foto/opel_calibra_v6_itc.jpg;1996;420;385;V6;2498;6;300;4.2;1040;25;200000;Versione da competizione per il campionato ITC;FWD;Aspirato
Opel Kadett C GTE;foto/opel_kadett_c_gte_1976.jpg;1976;110;147;I4;1979;4;185;9.0;900;8000;25000;Versione sportiva della Kadett C con motore CIH;RWD;Aspirato
Opel Lotus Omega;foto/opel_lotus_omega.jpg;1990;377;568;I6 Twin Turbo;3615;6;283;5.0;1663;950;100000;Super berlina sviluppata da Lotus con prestazioni da supercar;RWD;Twin-Turbo
Opel Manta 400;foto/opel_manta_400.jpg;1984;275;304;I4;2410;4;240;5.0;960;245;120000;Versione Gruppo B della Manta con motore 16v;RWD;Aspirato
Opel Rekord C Black Widow;foto/opel_rekord_c_black_widow.jpg;1967;190;250;I6;2605;6;200;7.5;1180;15;80000;Rara versione racing della Rekord C preparata da Steinmetz;RWD;Aspirato
Peugeot 106 Rallye;foto/peugeot_106_rallye.jpg;1998;103;132;I4;1587;4;190;9.6;865;1000;15000;Versione sportiva leggera della 106, popolare per motorsport amatoriale;FWD;Aspirato
Peugeot 205 GTi;foto/peugeot_205_gti.jpg;1990;130;166;I4;1905;4;206;7.6;880;10000;25000;Hot hatch francese divenuta icona degli anni '80;FWD;Aspirato
Peugeot 207 Super 2000;foto/peugeot_207_super_2000_2007.jpg;2007;280;250;I4;1998;4;200;5.0;1000;50;150000;Versione da rally con specifiche Super 2000;FWD;Aspirato
Plymouth Cuda 426 Hemi;foto/plymouth_cuda_426_hemi_1971.jpg;1971;425;664;V8 Hemi;6974;8;230;5.6;1725;652;300000;Muscle car con leggendario motore Hemi 426;RWD;Aspirato
Pontiac Bonneville;foto/pontiac_bonneville_1966.jpg;1966;325;576;V8;6376;8;190;8.0;1860;10000;35000;Lussuosa ammiraglia americana degli anni '60;RWD;Aspirato
Pontiac Firebird Trans-AM GTA;foto/pontiac_firebird_trans_am_gta_1987.jpg;1987;210;400;V8;5700;8;220;6.5;1585;7500;25000;Versione GTA con V8 TPI e assetto sportivo;RWD;Aspirato
Porsche 906 Carrera 6;foto/porsche_906_carrera_6_1966.jpg;1966;210;196;Flat-6;1991;6;280;5.3;580;65;1000000;Auto da corsa leggera con telaio tubolare;RWD;Aspirato
Porsche 911 GT2;foto/porsche_911_gt2_1995.jpg;1995;430;540;Flat-6 Twin Turbo;3600;6;295;3.9;1295;57;750000;Estrema versione da pista della 993 a trazione posteriore;RWD;Twin-Turbo
Porsche 911 Turbo 3.3;foto/porsche_911_turbo_3_3_1982.jpg;1982;300;412;Flat-6 Turbo;3299;6;260;5.4;1300;1500;150000;Leggendaria 930 Turbo con motore maggiorato a 3.3 litri;RWD;Turbo
Porsche 944 Turbo;foto/porsche_944_turbo_1989.jpg;1989;250;350;I4 Turbo;2479;4;260;5.9;1350;4103;45000;Evoluzione turbo della 944 con prestazioni vicine alla 911;RWD;Turbo
Porsche 959;foto/porsche_959_1987.jpg;1987;450;500;Flat-6 Twin Turbo;2849;6;317;3.7;1450;337;1500000;Supercar tecnologicamente avanzata con trazione integrale variabile;AWD;Twin-Turbo
Porsche 968 Turbo S;foto/porsche_968_turbo_s_1993.jpg;1993;305;500;I4 Turbo;2990;4;280;4.7;1370;44;200000;Rara versione turbo ad alte prestazioni della 968;RWD;Turbo
Renault 5 Turbo;foto/renault_5_turbo_1980.jpg;1980;160;221;I4 Turbo;1397;4;200;6.9;970;4858;100000;Hot hatch con motore centrale per omologazione rally Gruppo 4;RWD;Turbo
Renault Alpine GTA;foto/renault_alpine_gta.jpg;1986;200;267;V6;2849;6;250;7.0;1205;1319;40000;Coupé sportiva con motore PRV e carrozzeria in vetroresina;RWD;Turbo
Renault Clio RS 200 EDC;foto/renault_clio_rs_200_edc_2013.jpg;2013;200;240;I4 Turbo;1618;4;230;6.7;1204;10000;25000;Prima Clio RS con cambio doppia frizione e motore turbo;FWD;Turbo
Renault Clio Williams;foto/renault_clio_williams_1993.jpg;1993;150;175;I4;1998;4;215;7.8;981;5000;35000;Versione limitata sviluppata con Williams F1;FWD;Aspirato
Renault Mégane R26.R;foto/renault_megane_r26_r_2008.jpg;2008;230;310;I4 Turbo;1998;4;237;6.0;1220;450;40000;Versione alleggerita con roll-bar e sedili a guscio;FWD;Turbo
Renault Megane RS Trophy-R;foto/renault_megane_rs_trophy-r.jpg;2011;265;360;I4 Turbo;1998;4;255;5.8;1376;500;45000;Versione più estrema della Mégane RS;FWD;Turbo
Renault Twingo GT R1;foto/renault_twingo_gt_r1_2018.jpg;2018;110;170;I4 Turbo;898;3;182;9.6;1001;1000;20000;Versione sportiva della Twingo a motore posteriore;FWD;Turbo
Subaru Impreza WRX STI;foto/subaru_impreza_wrx_sti_2004.jpg;2004;280;392;Flat-4 Turbo;1994;4;255;4.9;1470;5000;35000;STi con motore EJ20 rivisto e differenziale DCCD;AWD;Turbo
Subaru Impreza WRX STI;foto/subaru_impreza_wrx_sti_2005.jpg;2005;280;392;Flat-4 Turbo;1994;4;255;4.9;1495;6000;32000;Ultimo modello della seconda generazione STi;AWD;Turbo
Subaru Impreza WRX STI;foto/subaru_impreza_wrx_sti_2008.jpg;2008;300;407;Flat-4 Turbo;2457;4;258;4.8;1505;5000;30000;Nuova generazione con motore 2.5 EJ257;AWD;Turbo
Subaru Legacy GT-B;foto/subaru_legacy_gt-b.jpg;1996;280;343;Flat-4 Turbo;1994;4;250;5.2;1450;1500;25000;Station wagon sportiva con assetto Bilstein;AWD;Turbo
Subaru Legacy RS Turbo;foto/subaru_legacy_rs_turbo.jpg;1990;220;309;Flat-4 Turbo;1994;4;235;6.2;1361;2500;20000;Prima Legacy ad alte prestazioni;AWD;Turbo
Subaru WRX STI;foto/subaru_wrx_sti_2011.jpg;2011;305;407;Flat-4 Turbo;2457;4;258;4.9;1535;4000;35000;Versione berlina con aerodinamica migliorata;AWD;Turbo
Subaru WRX STI;foto/subaru_wrx_sti_2015.jpg;2015;305;407;Flat-4 Turbo;2457;4;255;5.1;1535;3000;40000;Ultima evoluzione della WRX STI;AWD;Turbo
Toyota AE86 Sprinter Trueno;foto/toyota_ae86_sprinter_trueno.jpg;1987;130;149;I4;1587;4;200;8.3;970;10000;25000;Leggendaria coupé a trazione posteriore, icona del drifting;RWD;Aspirato
Toyota Caldina GT-T;foto/toyota_caldina_gt-t.jpg;1998;260;378;I4 Turbo;1998;4;230;6.4;1470;5000;15000;Station wagon sportiva con motore 3S-GTE;AWD;Turbo
Toyota Celica GT-FOUR RC;foto/toyota_celica_gt_four_rc_st185_1992.jpg;1992;239;304;I4 Turbo;1998;4;240;6.1;1390;5000;35000;Versione omologazione per il Gruppo A rally;AWD;Turbo
Toyota Celica GT-Four ST205;foto/toyota_celica_gt_four_st205.jpg;1994;255;304;I4 Turbo;1998;4;240;5.9;1440;2500;40000;Ultima Celica GT-Four con anti-lag di serie;AWD;Turbo
Toyota Corona GT-T;foto/toyota_corona_gt-t.jpg;1983;160;201;I4 Turbo;1832;4;205;8.0;1200;5000;15000;Rara berlina turbo per il mercato giapponese;RWD;Turbo
Toyota MR2 SC;foto/toyota_mr2_sc_1989.jpg;1989;145;186;I4 SC;1587;4;210;7.0;1120;1500;20000;MR2 con motore sovralimentato tramite compressore volumetrico;RWD;Supercharged
Toyota MR2 SW20;foto/toyota_mr2_sw20.jpg;1990;165;186;I4;1998;4;225;7.2;1220;10000;18000;Seconda generazione MR2 con design ispirato alle Ferrari;RWD;Aspirato
Toyota Starlet Glanza V;foto/toyota_starlet_glanza_v.jpg;1996;133;157;I4 Turbo;1331;4;200;8.2;890;1000;15000;Hot hatch compatta con motore 4E-FTE turbo;FWD;Turbo
Toyota Supra 2.0 GT;foto/toyota_supra_2_0_gt_1992.jpg;1992;210;275;I6 Twin Turbo;1991;6;240;6.5;1500;1000;25000;Versione 2.0 twin turbo per il mercato giapponese;RWD;Twin-Turbo
Toyota Supra MK4;foto/toyota_supra_mk4_1993.jpg;1993;330;440;I6 Twin Turbo;2997;6;250;4.6;1570;10000;80000;Leggendaria sportiva con motore 2JZ-GTE;RWD;Twin-Turbo
Toyota Supra RZ;foto/toyota_supra_rz_1998.jpg;1998;330;440;I6 Twin Turbo;2997;6;250;4.6;1570;1000;90000;Ultima versione della Supra A80;RWD;Twin-Turbo
Toyota Yaris WRC;foto/toyota_yaris_wrc.jpg;2017;380;425;I4 Turbo;1600;4;250;3.7;1190;20;800000;Auto da rally WRC del team Toyota Gazoo Racing;AWD;Turbo
Volvo 242 Turbo Evolution;foto/volvo_242_turbo_evolution_1983.jpg;1983;300;343;I4 Turbo;2127;4;260;6.0;1200;500;50000;Versione omologazione Gruppo A della 242;RWD;Turbo
Volvo 850 T-5R;foto/volvo_850_t-5r.jpg;1995;240;330;I5 Turbo;2319;5;245;6.9;1520;5500;30000;Station wagon ad alte prestazioni sviluppata con Porsche;FWD;Turbo
VW Golf GTI 16V MK2;foto/vw_golf_gti_16v_mk2_1992.jpg;1992;139;168;I4;1781;4;208;8.0;960;5000;15000;Golf GTI con motore 16 valvole più potente;FWD;Aspirato
VW Golf GTI;foto/vw_golf_gti_1983.jpg;1983;112;142;I4;1781;4;190;8.2;840;5000;20000;Mk1 GTI che ha definito la categoria hot hatch;FWD;Aspirato
VW Golf R;foto/vw_golf_r_2010.jpg;2010;270;350;I4 Turbo;1984;4;250;5.5;1500;5000;30000;Golf più potente con trazione integrale;AWD;Turbo
VW Golf R;foto/vw_golf_r_2014.jpg;2014;300;380;I4 Turbo;1984;4;250;4.9;1476;10000;35000;Evoluzione della Golf R con più potenza;AWD;Turbo
VW Golf R32;foto/vw_golf_r32_2003.jpg;2003;241;320;VR6;3189;6;250;6.4;1477;5000;25000;Prima Golf con motore VR6 3.2 e trazione integrale;AWD;Aspirato
VW GTI VR6 MK3;foto/vw_gti_vr6_mk3_1998.jpg;1998;174;245;VR6;2792;6;225;7.1;1285;1000;15000;Golf GTI con innovativo motore VR6;FWD;Aspirato
